"","cell_type","variable","fraction"
"1","B cell","V1",0.00608001312481046
"2","Macrophage M1","V1",0
"3","Macrophage M2","V1",0.0181748690413432
"4","Monocyte","V1",0.088043500576257
"5","Neutrophil","V1",0.0476915270571852
"6","NK cell","V1",0.0438019260530301
"7","T cell CD4+ (non-regulatory)","V1",0
"8","T cell CD8+","V1",0
"9","T cell regulatory (Tregs)","V1",0.0176046501551302
"10","Myeloid dendritic cell","V1",0.000554700050500068
"11","uncharacterized cell","V1",0.778048813941744
"12","B cell","V2",0.00635000153336703
"13","Macrophage M1","V2",0
"14","Macrophage M2","V2",0.000291402219427297
"15","Monocyte","V2",0.211653624367715
"16","Neutrophil","V2",0.0332262033429581
"17","NK cell","V2",0.0839297574861707
"18","T cell CD4+ (non-regulatory)","V2",0.00890824688332747
"19","T cell CD8+","V2",0
"20","T cell regulatory (Tregs)","V2",0.0232904581732084
"21","Myeloid dendritic cell","V2",0
"22","uncharacterized cell","V2",0.632350305993826
"23","B cell","V3",0.00375122738633693
"24","Macrophage M1","V3",0.00176475721945229
"25","Macrophage M2","V3",0.0162838801428492
"26","Monocyte","V3",0
"27","Neutrophil","V3",0.0609063164132574
"28","NK cell","V3",0.0104317771985032
"29","T cell CD4+ (non-regulatory)","V3",0
"30","T cell CD8+","V3",2.76921472904449e-05
"31","T cell regulatory (Tregs)","V3",0.00282864686486118
"32","Myeloid dendritic cell","V3",0.00654988341830258
"33","uncharacterized cell","V3",0.897455819209147
"34","B cell","V4",0.0128516061574133
"35","Macrophage M1","V4",0.0044478040325828
"36","Macrophage M2","V4",0.0429615781764869
"37","Monocyte","V4",0.0802668582632768
"38","Neutrophil","V4",0.00892903158067518
"39","NK cell","V4",0.027554472567197
"40","T cell CD4+ (non-regulatory)","V4",0
"41","T cell CD8+","V4",0.00523775397789771
"42","T cell regulatory (Tregs)","V4",0.0125466286527564
"43","Myeloid dendritic cell","V4",0.00237694912451672
"44","uncharacterized cell","V4",0.802827317467197
"45","B cell","V5",0.0118123627388983
"46","Macrophage M1","V5",0.00594971675136208
"47","Macrophage M2","V5",0.0488984502135568
"48","Monocyte","V5",0.0825915852723858
"49","Neutrophil","V5",0.0721733228689699
"50","NK cell","V5",0.037455002421808
"51","T cell CD4+ (non-regulatory)","V5",0
"52","T cell CD8+","V5",0.00170946694482522
"53","T cell regulatory (Tregs)","V5",0.0181788660845442
"54","Myeloid dendritic cell","V5",0.006637462652649
"55","uncharacterized cell","V5",0.714593764051001
"56","B cell","V6",0.0059068229278027
"57","Macrophage M1","V6",0.00203130650799444
"58","Macrophage M2","V6",0.0227107303376711
"59","Monocyte","V6",0
"60","Neutrophil","V6",0.0686165236373694
"61","NK cell","V6",0.00847470417256677
"62","T cell CD4+ (non-regulatory)","V6",0
"63","T cell CD8+","V6",0.000156905542022554
"64","T cell regulatory (Tregs)","V6",0.00292482691510413
"65","Myeloid dendritic cell","V6",0.0101972009140287
"66","uncharacterized cell","V6",0.87898097904544
"67","B cell","V7",0.0039378887301818
"68","Macrophage M1","V7",0.00294088969157092
"69","Macrophage M2","V7",0.00530017329164004
"70","Monocyte","V7",0.140292601207591
"71","Neutrophil","V7",0
"72","NK cell","V7",0.0548986335012572
"73","T cell CD4+ (non-regulatory)","V7",0.00458333755338045
